Date,Brazil svm,Brazil LR,India svm,India LR
2021-07-28,20311681,19812537,32158195,31541649
2021-07-29,20311692,19843673,32158207,31579772
2021-07-30,20311766,19874810,32158294,31617894
2021-07-31,20311968,19905946,32158532,31656017
2021-08-01,20312362,19937082,32158994,31694140
2021-08-02,20313010,19968219,32159756,31732262
2021-08-03,20313977,19999355,32160893,31770385
2021-08-04,20315327,20030491,32162479,31808507
2021-08-05,20317124,20061627,32164590,31846630
2021-08-06,20319430,20092764,32167301,31884752
2021-08-07,20322311,20123900,32170686,31922875
2021-08-08,20325829,20155036,32174821,31960998
2021-08-09,20330049,20186173,32179780,31999120
2021-08-10,20335034,20217309,32185638,32037243
2021-08-11,20340848,20248445,32192471,32075365
2021-08-12,20347556,20279582,32200353,32113488
2021-08-13,20355219,20310718,32209359,32151610
2021-08-14,20363903,20341854,32219565,32189733
2021-08-15,20373672,20372990,32231045,32227856
2021-08-16,20384588,20404127,32243873,32265978
2021-08-17,20396716,20435263,32258126,32304101
2021-08-18,20410120,20466399,32273878,32342223
2021-08-19,20424863,20497536,32291203,32380346
2021-08-20,20441009,20528672,32310178,32418468
2021-08-21,20458622,20559808,32330876,32456591
2021-08-22,20477765,20590945,32353373,32494714
2021-08-23,20498503,20622081,32377744,32532836
2021-08-24,20520899,20653217,32404064,32570959
2021-08-25,20545018,20684353,32432407,32609081
2021-08-26,20570921,20715490,32462848,32647204
2021-08-27,20598675,20746626,32495463,32685326
2021-08-28,20628341,20777762,32530327,32723449
2021-08-29,20659985,20808899,32567514,32761572
2021-08-30,20693669,20840035,32607099,32799694
2021-08-31,20729459,20871171,32649158,32837817
2021-09-01,20767416,20902308,32693765,32875939
2021-09-02,20807606,20933444,32740995,32914062
2021-09-03,20850091,20964580,32790924,32952184
2021-09-04,20894937,20995716,32843625,32990307
2021-09-05,20942206,21026853,32899174,33028430
2021-09-06,20991962,21057989,32957647,33066552
2021-09-07,21044269,21089125,33019117,33104675
2021-09-08,21099191,21120262,33083661,33142797
2021-09-09,21156792,21151398,33151352,33180920
2021-09-10,21217135,21182534,33222266,33219042
2021-09-11,21280284,21213671,33296477,33257165
2021-09-12,21346303,21244807,33374062,33295288
2021-09-13,21415256,21275943,33455094,33333410
2021-09-14,21487206,21307079,33539648,33371533
2021-09-15,21562217,21338216,33627800,33409655
2021-09-16,21640354,21369352,33719625,33447778
2021-09-17,21721679,21400488,33815197,33485900
2021-09-18,21806257,21431625,33914591,33524023
2021-09-19,21894152,21462761,34017883,33562146
2021-09-20,21985426,21493897,34125147,33600268
2021-09-21,22080145,21525034,34236458,33638391
2021-09-22,22178371,21556170,34351892,33676513
2021-09-23,22280168,21587306,34471522,33714636
2021-09-24,22385601,21618442,34595425,33752758
2021-09-25,22494733,21649579,34723675,33790881
2021-09-26,22607628,21680715,34856346,33829004
2021-09-27,22724349,21711851,34993515,33867126
2021-09-28,22844961,21742988,35135255,33905249
2021-09-29,22969526,21774124,35281642,33943371
2021-09-30,23098110,21805260,35432751,33981494
2021-10-01,23230775,21836397,35588657,34019616
2021-10-02,23367586,21867533,35749434,34057739
2021-10-03,23508606,21898669,35915158,34095861
2021-10-04,23653899,21929806,36085904,34133984
2021-10-05,23803529,21960942,36261746,34172107
2021-10-06,23957559,21992078,36442759,34210229
2021-10-07,24116054,22023214,36629019,34248352
2021-10-08,24279077,22054351,36820601,34286474
2021-10-09,24446692,22085487,37017578,34324597
2021-10-10,24618962,22116623,37220027,34362719
2021-10-11,24795952,22147760,37428022,34400842
2021-10-12,24977725,22178896,37641638,34438965
2021-10-13,25164345,22210032,37860950,34477087
2021-10-14,25355876,22241169,38086034,34515210
2021-10-15,25552381,22272305,38316963,34553332
