Date,Cases in India,Cases in Brazil
2021-05-17,25229860,15657946
2021-05-18,25496710,15732646
2021-05-19,25770322,15815691
2021-05-20,26041672,15893104
2021-05-21,26280171,15969525
2021-05-22,26521940,16041241
2021-05-23,26757594,16085731
2021-05-24,26953333,16124479
2021-05-25,27158936,16193344
2021-05-26,27371300,16270553
2021-05-27,27550585,16335864
2021-05-28,27725624,16404461
2021-05-29,27903935,16468354
2021-05-30,28041508,16514969
2021-05-31,28171804,16557397
2021-06-01,28311965,16629943
2021-06-02,28443163,16707243
2021-06-03,28572099,16778913
2021-06-04,28696791,16853869
2021-06-05,28807728,16913568
2021-06-06,28912549,16946041
2021-06-07,28994848,16982678
2021-06-08,29087010,17049431
2021-06-09,29185934,17124530
2021-06-10,29273628,17205385
2021-06-11,29357078,17289526
2021-06-12,29443799,17368964
2021-06-13,29509173,17416780
2021-06-14,29567271,17460409
2021-06-15,29635233,17534156
2021-06-16,29700746,17624429
2021-06-17,29763998,17709070
2021-06-18,29823005,17796998
2021-06-19,29881665,17875923
2021-06-20,29934210,17927623
2021-06-21,29979480,17975137
2021-06-22,30027507,18062523
2021-06-23,30082295,18158254
2021-06-24,30134822,18248354
2021-06-25,30183091,18318991
2021-06-26,30234630,18384923
2021-06-27,30280055,18423630
2021-06-28,30315415,18448482
2021-06-29,30360640,18503452
2021-06-30,30412627,18566766
2021-07-01,30459047,18624448
2021-07-02,30501223,18685417
2021-07-03,30546671,18741682
2021-07-04,30586755,18770721
2021-07-05,30619565,18795573
2021-07-06,30662238,18850543
2021-07-07,30709308,18909571
2021-07-08,30754116,18962967
2021-07-09,30794680,19019651
2021-07-10,30838515,19068502
2021-07-11,30876235,19090127
2021-07-12,30904747,19107522
2021-07-13,30943123,19155033
2021-07-14,30988261,19210889
2021-07-15,31029013,19257257
2021-07-16,31065520,19306912
2021-07-17,31105298,19351862
2021-07-18,31144797,19367550
2021-07-19,31177021,19379051
2021-07-20,31219108,19420669
2021-07-21,31252661,19487340
2021-07-22,31283951,19548379
2021-07-23,31310998,19612704
2021-07-24,31361648,19663972
2021-07-25,31406183,19688015
2021-07-26,31443442,19707872
2021-07-27,31486116,19750493
2021-07-28,31535552,19801459
2021-07-29,31582726,19846792
2021-07-30,31620743,19889368
2021-07-31,31662031,19927238
2021-08-01,31697204,19937883
2021-08-02,31725101,19944342
2021-08-03,31762863,19980917
2021-08-04,31807386,20025837
2021-08-05,31849647,20065126
2021-08-06,31887664,20107701
2021-08-07,31928952,20145571
2021-08-08,31964125,20156216
2021-08-09,31992022,20162675
2021-08-10,32029783,20199250
2021-08-11,32074306,20244170
2021-08-12,32116567,20283459
2021-08-13,32154584,20326034
2021-08-14,32195872,20363904
2021-08-15,32231045,20374549
2021-08-16,32258942,20381008
2021-08-17,32296704,20417583
2021-08-18,32341227,20462504
2021-08-19,32383488,20501792
2021-08-20,32421505,20544367
2021-08-21,32462793,20582237
2021-08-22,32497966,20592883
2021-08-23,32525863,20599341
2021-08-24,32563624,20635916
2021-08-25,32608147,20680837
2021-08-26,32650408,20720125
2021-08-27,32688425,20762700
2021-08-28,32729713,20800571
2021-08-29,32764886,20811216
2021-08-30,32792783,20817674
2021-08-31,32830545,20854250
2021-09-01,32875068,20899170
2021-09-02,32917329,20938458
2021-09-03,32955346,20981033
2021-09-04,32996634,21018904
2021-09-05,33031807,21029549
2021-09-06,33059704,21036007
2021-09-07,33097465,21072583
2021-09-08,33141988,21117503
2021-09-09,33184249,21156792
2021-09-10,33222266,21199367
2021-09-11,33263554,21237237
2021-09-12,33298727,21247882
2021-09-13,33326624,21254341
2021-09-14,33364386,21290916
2021-09-15,33408909,21335836
2021-09-16,33451170,21375125
2021-09-17,33489187,21417700
2021-09-18,33530475,21455570
2021-09-19,33565648,21466215
2021-09-20,33593545,21472674
2021-09-21,33631306,21509249
2021-09-22,33675829,21554169
2021-09-23,33718090,21593458
2021-09-24,33756107,21636033
2021-09-25,33797395,21673903
2021-09-26,33832568,21684548
2021-09-27,33860465,21691007
2021-09-28,33898227,21727582
2021-09-29,33942750,21772503
2021-09-30,33985011,21811791
2021-10-01,34023028,21854366
2021-10-02,34064316,21892236
2021-10-03,34099489,21902882
2021-10-04,34127386,21909340
2021-10-05,34165147,21945916
2021-10-06,34209670,21990836
2021-10-07,34251931,22030124
2021-10-08,34289948,22072699
2021-10-09,34331236,22110570
2021-10-10,34366409,22121215
2021-10-11,34394306,22127673
2021-10-12,34432068,22164249
2021-10-13,34476591,22209169
2021-10-14,34518852,22248457
2021-10-15,34556869,22291033
